name,nmol,charge,massdiff,oidscore,quasi,ips
(M+H)+,1,1,1.007276,2,0,1
(M+H-H2O)+,1,1,-17.008024,3,0,0.25
(M+H-2H2O)+,1,1,-35.0134,4,1,0.25
(M+NH4)+,1,1,18.0344,5,1,1
(M+Na)+,1,1,22.989218,6,0,1
(M-H+2Na)+,1,1,44.97116,7,0,0.25
(M-2H+3Na)+,1,1,66.9538,8,1,0.25
(M+K)+,1,1,38.963158,9,0,1
(M-H+2K)+,1,1,76.91904,10,0,0.25
(M-2H+3K)+,1,1,114.8755,11,0,0.25
(M+CH3CN+H)+,1,1,42.0343,12,0,0.25
(M+CH3CN+Na)+,1,1,64.0163,13,0,0.25
[2M+H]+,2,1,1.007276,1,0,0.5
[M+Na+HCOOH]+,1,1,68.994688,29,0,0.5
[M+K+HCOOH]+,1,1,84.968628,30,0,0.5
[M+H+HCOOH]+,1,1,47.012746,31,0,0.5
[2M+Na]+,2,1,22.989218,7,0,0.5
[2M+K]+,2,1,38.963158,9,0,0.5
